id,city,country,continent,latitude,longitude,rating,review_count,avg_cost_per_person,currency,best_season,category,tagline,description,image_url,badge,popular_activities
1,Venice,Italy,Europe,45.4408,12.3155,4.9,12840,2450,USD,Spring,Culture,"Timeless canals and Renaissance art","Timeless canals, Renaissance palazzos, and an intoxicating labyrinth of art and culture that has inspired dreamers for centuries.",https://images.unsplash.com/photo-1523906834658-6e24ef2386f9?w=800&q=80,Editor's Pick,"Gondola rides;St. Mark's Basilica;Murano glass workshops;Rialto Market food tour"
2,Tokyo,Japan,Asia,35.6762,139.6503,4.7,18920,3180,USD,Autumn,Culture,"Where tradition meets the future","A neon-soaked metropolis where ancient temples sit beside avant-garde skyscrapers and Michelin-starred ramen shops.",https://images.unsplash.com/photo-1540959733332-eab4deabeeaf?w=800&q=80,Trending,"Tsukiji Market;Shibuya crossing;Temple hopping;Robot Restaurant"
3,Santorini,Greece,Europe,36.3932,25.4615,4.9,15670,2890,USD,Summer,Beach,"Volcanic cliffs and Aegean blues","Whitewashed villages cascading over volcanic cliffs, framed by the Aegean's deepest blues and legendary sunsets.",https://images.unsplash.com/photo-1539037116277-4db20889f2d4?w=800&q=80,Bestseller,"Sunset at Oia;Caldera sailing;Wine tasting;Red Beach hike"
4,Kyoto,Japan,Asia,35.0116,135.7681,4.8,11230,2780,USD,Spring,Culture,"The soul of ancient Japan","A city of a thousand temples, bamboo groves, and geisha districts where every season paints a different masterpiece.",https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?w=800&q=80,Editor's Pick,"Fushimi Inari shrine;Bamboo grove;Tea ceremony;Geisha district walk"
5,Bali,Indonesia,Asia,-8.3405,115.092,4.6,22150,1650,USD,Dry Season,Beach,"Island of gods and emerald terraces","Sacred temples engulfed in jungle mist, rice terraces that cascade like giant green staircases, and surf breaks that rival the world's best.",https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800&q=80,Trending,"Ubud rice terraces;Temple visits;Surfing;Spa retreats"
6,Swiss Alps,Switzerland,Europe,46.8182,8.2275,4.8,9870,4200,USD,Winter,Mountains,"Peaks that pierce the heavens","Majestic snow-capped peaks, crystalline lakes, and charming alpine villages where fondue and fresh air are served in equal measure.",https://images.unsplash.com/photo-1531366936337-7c912a4589a7?w=800&q=80,Premium,"Skiing;Glacier Express train;Hiking;Paragliding"
7,Marrakech,Morocco,Africa,31.6295,-7.9811,4.5,8940,1280,USD,Spring,Culture,"A feast for every sense","Lose yourself in a labyrinth of souks brimming with spices, silks, and stories — where every corner hides a riad more beautiful than the last.",https://images.unsplash.com/photo-1489749798305-4fea3ae63d43?w=800&q=80,Hidden Gem,"Medina exploration;Jardin Majorelle;Hammam;Sahara excursion"
8,Amalfi Coast,Italy,Europe,40.6340,14.6027,4.9,10560,3450,USD,Summer,Beach,"Where mountains kiss the Mediterranean","A ribbon of pastel villages clinging to dramatic sea cliffs, connected by one of the world's most spectacular coastal roads.",https://images.unsplash.com/photo-1534308983496-4fabb1a015ee?w=800&q=80,Bestseller,"Coastal drive;Positano beach;Lemon grove tour;Ravello gardens"
9,Patagonia,Argentina,South America,-41.8101,-68.9063,4.7,5320,2900,USD,Summer,Adventure,"The last frontier of the wild","A primordial landscape of grinding glaciers, turquoise lakes, and granite spires rising from the steppe — raw, untamed, unforgettable.",https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800&q=80,Premium,"Glacier trekking;Torres del Paine;Horseback riding;Wildlife watching"
10,Maldives,Maldives,Asia,3.2028,73.2207,4.8,13400,5200,USD,Winter,Beach,"Overwater paradise redefined","A constellation of coral islands floating in an impossibly turquoise ocean, where luxury meets barefoot simplicity.",https://images.unsplash.com/photo-1514282401047-d79a71a590e8?w=800&q=80,Premium,"Overwater villa stay;Snorkeling;Sunset dolphin cruise;Underwater dining"
11,Cape Town,South Africa,Africa,-33.9249,18.4241,4.6,11780,1850,USD,Spring,Adventure,"Where two oceans meet","A city framed by Table Mountain's flat-topped grandeur, wrapped in world-class vineyards, and kissed by two oceans.",https://images.unsplash.com/photo-1580060839134-75a5edca2e99?w=800&q=80,Trending,"Table Mountain hike;Cape Peninsula drive;Wine tasting;Shark diving"
12,Reykjavik,Iceland,Europe,64.1466,-21.9426,4.7,6890,3100,USD,Winter,Adventure,"Fire and ice in harmony","A land of geysers and glaciers, volcanic beaches and northern lights — nature at her most dramatic and awe-inspiring.",https://images.unsplash.com/photo-1504829857797-ddff29c27927?w=800&q=80,Editor's Pick,"Northern lights;Golden Circle;Blue Lagoon;Ice cave exploration"
